类型,根函数名,函数名,包含性样本,排除性样本,包含性样本 %,排除性样本 %,
"Caller","[KernelBase.dll]","[dnsapi.dll]",4,4,0.01,0.01,
"Caller","[KernelBase.dll]","[dui70.dll]",5,4,0.01,0.01,
"Caller","[KernelBase.dll]","[wbemcomn.dll]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[wbemprox.dll]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[WTY.dll]",168,168,0.48,0.48,
"Callee","[KernelBase.dll]","[UIAutomationCore.dll]",1,0,0.00,0.00,
"Root","[knb3rdhmpg.dll]","[knb3rdhmpg.dll]",6,0,0.02,0.00,
"Caller","[knb3rdhmpg.dll]","[ntdll.dll]",6,0,0.02,0.00,
"Callee","[knb3rdhmpg.dll]","[user32.dll]",6,6,0.02,0.02,
"Root","[LedDynamicArea.dll]","[LedDynamicArea.dll]",62,8,0.18,0.02,
"Caller","[LedDynamicArea.dll]","[combase.dll]",1,1,0.00,0.00,
"Caller","[LedDynamicArea.dll]","[LedDynamicArea.dll]",14,6,0.04,0.02,
"Caller","[LedDynamicArea.dll]","[mscorlib.ni.dll]",1,0,0.00,0.00,
"Caller","[LedDynamicArea.dll]","[System.Windows.Forms.ni.dll]",47,1,0.13,0.00,
"Callee","[LedDynamicArea.dll]","[borlndmm.dll]",6,3,0.02,0.01,
"Callee","[LedDynamicArea.dll]","[LedDynamicArea.dll]",14,6,0.04,0.02,
"Callee","[LedDynamicArea.dll]","[ntdll.dll]",10,4,0.03,0.01,
"Callee","[LedDynamicArea.dll]","[oleaut32.dll]",2,2,0.01,0.01,
"Callee","[LedDynamicArea.dll]","[user32.dll]",36,36,0.10,0.10,
"Root","[mscorlib.ni.dll]","[mscorlib.ni.dll]",179,167,0.51,0.48,
"Caller","[mscorlib.ni.dll]","log4net.Appender.FileAppender+LockingModelBase.CloseStream",2,2,0.01,0.01,
"Caller","[mscorlib.ni.dll]","log4net.Appender.FileAppender+LockingStream.Flush",1,1,0.00,0.00,
