16:43:21.206  connect 192.168.1.98 fail!
16:43:21.212  192.168.1.98接口函数获取网卡IP为: 192.168.1.250
16:43:21.948  192.168.1.98:bind 11765 port fail, ret = 10049, hsdk_socket->port = 11765
16:43:21.953  192.168.1.98:bind 11775 port fail, ret = 10049, hsdk_socket->port = 11775
16:43:21.957  192.168.1.98:bind 11785 port fail, ret = 10049, hsdk_socket->port = 11785
16:43:21.962  192.168.1.98:bind 11795 port fail, ret = 10049, hsdk_socket->port = 11795
16:43:21.967  192.168.1.98:bind 11805 port fail, ret = 10049, hsdk_socket->port = 11805
16:43:21.972  192.168.1.98:bind 11815 port fail, ret = 10049, hsdk_socket->port = 11815
16:43:21.978  192.168.1.98:bind 11825 port fail, ret = 10049, hsdk_socket->port = 11825
16:43:21.983  192.168.1.98:bind 11835 port fail, ret = 10049, hsdk_socket->port = 11835
16:43:21.988  192.168.1.98:bind 11845 port fail, ret = 10049, hsdk_socket->port = 11845
16:43:21.993  192.168.1.98:bind 11855 port fail, ret = 10049, hsdk_socket->port = 11855
16:43:21.998  192.168.1.98:bind 11865 port fail, ret = 10049, hsdk_socket->port = 11865
16:43:22.004  192.168.1.98:bind 11875 port fail, ret = 10049, hsdk_socket->port = 11875
16:43:22.009  192.168.1.98:bind 11885 port fail, ret = 10049, hsdk_socket->port = 11885
16:43:22.014  192.168.1.98:bind 11895 port fail, ret = 10049, hsdk_socket->port = 11895
16:43:22.019  192.168.1.98:bind 11905 port fail, ret = 10049, hsdk_socket->port = 11905
16:43:22.024  192.168.1.98:bind 11915 port fail, ret = 10049, hsdk_socket->port = 11915
16:43:22.029  192.168.1.98:bind 11925 port fail, ret = 10049, hsdk_socket->port = 11925
16:43:22.034  192.168.1.98:bind 11935 port fail, ret = 10049, hsdk_socket->port = 11935
16:43:22.039  192.168.1.98:bind 11945 port fail, ret = 10049, hsdk_socket->port = 11945
16:43:22.044  192.168.1.98:bind 11955 port fail, ret = 10049, hsdk_socket->port = 11955
16:43:22.049  192.168.1.98:bind 11965 port fail, ret = 10049, hsdk_socket->port = 11965
16:43:22.054  192.168.1.98:bind 11975 port fail, ret = 10049, hsdk_socket->port = 11975
16:43:22.059  192.168.1.98:bind 11985 port fail, ret = 10049, hsdk_socket->port = 11985
16:43:22.063  192.168.1.98:bind 11995 port fail, ret = 10049, hsdk_socket->port = 11995
16:43:22.068  192.168.1.98:bind 12005 port fail, ret = 10049, hsdk_socket->port = 12005
16:43:22.072  192.168.1.98:bind 12015 port fail, ret = 10049, hsdk_socket->port = 12015
16:43:22.077  192.168.1.98:bind 12025 port fail, ret = 10049, hsdk_socket->port = 12025
16:43:22.082  192.168.1.98:bind 12035 port fail, ret = 10049, hsdk_socket->port = 12035
16:43:22.086  192.168.1.98:bind 12045 port fail, ret = 10049, hsdk_socket->port = 12045
16:43:22.090  192.168.1.98:bind 12055 port fail, ret = 10049, hsdk_socket->port = 12055
16:43:22.095  192.168.1.98:bind 12065 port fail, ret = 10049, hsdk_socket->port = 12065
16:43:22.099  192.168.1.98:bind 12075 port fail, ret = 10049, hsdk_socket->port = 12075
16:43:22.104  192.168.1.98:bind 12085 port fail, ret = 10049, hsdk_socket->port = 12085
16:43:22.109  192.168.1.98:bind 12095 port fail, ret = 10049, hsdk_socket->port = 12095
16:43:22.114  192.168.1.98:bind 12105 port fail, ret = 10049, hsdk_socket->port = 12105
16:43:22.119  192.168.1.98:bind 12115 port fail, ret = 10049, hsdk_socket->port = 12115
16:43:22.124  192.168.1.98:bind 12125 port fail, ret = 10049, hsdk_socket->port = 12125
16:43:22.129  192.168.1.98:bind 12135 port fail, ret = 10049, hsdk_socket->port = 12135
16:43:22.134  192.168.1.98:bind 12145 port fail, ret = 10049, hsdk_socket->port = 12145
16:43:22.139  192.168.1.98:bind 12155 port fail, ret = 10049, hsdk_socket->port = 12155
16:43:22.144  192.168.1.98:bind 12165 port fail, ret = 10049, hsdk_socket->port = 12165
16:43:22.149  192.168.1.98:bind 12175 port fail, ret = 10049, hsdk_socket->port = 12175
16:43:22.154  192.168.1.98:bind 12185 port fail, ret = 10049, hsdk_socket->port = 12185
16:43:22.159  192.168.1.98:bind 12195 port fail, ret = 10049, hsdk_socket->port = 12195
16:43:22.163  192.168.1.98:bind 12205 port fail, ret = 10049, hsdk_socket->port = 12205
16:43:22.168  192.168.1.98:bind 12215 port fail, ret = 10049, hsdk_socket->port = 12215
16:43:22.173  192.168.1.98:bind 12225 port fail, ret = 10049, hsdk_socket->port = 12225
16:43:22.178  192.168.1.98:bind 12235 port fail, ret = 10049, hsdk_socket->port = 12235
16:43:22.183  192.168.1.98:bind 12245 port fail, ret = 10049, hsdk_socket->port = 12245
16:43:22.188  192.168.1.98:bind 12255 port fail, ret = 10049, hsdk_socket->port = 12255
16:43:22.194  192.168.1.98:bind 12265 port fail, ret = 10049, hsdk_socket->port = 12265
16:43:22.199  192.168.1.98:bind 12275 port fail, ret = 10049, hsdk_socket->port = 12275
16:43:22.204  192.168.1.98:bind 12285 port fail, ret = 10049, hsdk_socket->port = 12285
16:43:22.209  192.168.1.98:bind 12295 port fail, ret = 10049, hsdk_socket->port = 12295
16:43:22.214  192.168.1.98:bind 12305 port fail, ret = 10049, hsdk_socket->port = 12305
16:43:22.219  192.168.1.98:bind 12315 port fail, ret = 10049, hsdk_socket->port = 12315
16:43:22.224  192.168.1.98:bind 12325 port fail, ret = 10049, hsdk_socket->port = 12325
16:43:22.230  192.168.1.98:bind 12335 port fail, ret = 10049, hsdk_socket->port = 12335
16:43:22.235  192.168.1.98:bind 12345 port fail, ret = 10049, hsdk_socket->port = 12345
16:43:22.240  192.168.1.98:bind 12355 port fail, ret = 10049, hsdk_socket->port = 12355
16:43:22.246  192.168.1.98:bind 12365 port fail, ret = 10049, hsdk_socket->port = 12365
